index,category,sub_category,brand,sale_price,market_price
6405,Beauty & Hygiene,Bath & Hand Wash,Medimix,40,40
6406,Beauty & Hygiene,Skin Care,Aveeno,1300,1300
6407,Snacks & Branded Foods,Ready To Cook & Eat,Rusingo,110,110
6408,Snacks & Branded Foods,Chocolates & Candies,Dukes,190,200
6409,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",Millet Cookies,60,60
6410,Gourmet & World Food,"Sauces, Spreads & Dips",Pintola,383.56,425
6411,Beauty & Hygiene,Skin Care,Kaya Clinic,384,480
6412,"Foodgrains, Oil & Masala",Dals & Pulses,bb Royal,367,540
6413,"Kitchen, Garden & Pets",Crockery & Cutlery,Lyra,409,630
6414,Beauty & Hygiene,Men's Grooming,Qraa Men,799,799
6415,Snacks & Branded Foods,Chocolates & Candies,LiL'Goodness,40,50
6416,Beauty & Hygiene,Health & Medicine,Nectar Valley,275,275
6417,Snacks & Branded Foods,Ready To Cook & Eat,Gits,110,110
6418,"Kitchen, Garden & Pets",Cookware & Non Stick,HAZEL,1149,1699
6419,Baby Care,Diapers & Wipes,Pampers ,1077.02,1099
6420,Gourmet & World Food,Cereals & Breakfast,The Whole Truth,85,100
6421,"Kitchen, Garden & Pets",Storage & Accessories,JOYO,389,599
6422,Gourmet & World Food,Oils & Vinegar,Nectar Valley,550,550
6423,"Kitchen, Garden & Pets",Crockery & Cutlery,BB Home,99,169
6424,"Foodgrains, Oil & Masala",Organic Staples,Himalayan Natives,84.15,99
6425,Beauty & Hygiene,Hair Care,Sunsilk,220,220
6426,"Bakery, Cakes & Dairy",Dairy,Britannia,285,285
6427,Beverages,Energy & Soft Drinks,Fanta,40,40
6428,Beauty & Hygiene,Health & Medicine,Eno ,54,54
6429,Gourmet & World Food,"Sauces, Spreads & Dips",HappyChef,349.01,500
6430,Gourmet & World Food,Cereals & Breakfast,Nutty Yogi,149,149
6431,"Foodgrains, Oil & Masala",Masalas & Spices,Safe Harvest,58.41,59
6432,Fruits & Vegetables,Fresh Vegetables,Fresho,10.89,18.75
6433,Beauty & Hygiene,Skin Care,Lakme,520,650
6434,"Bakery, Cakes & Dairy",Dairy,Amul,83.01,90
6435,Beauty & Hygiene,Skin Care,Mamaearth,349,349
6436,Cleaning & Household,All Purpose Cleaners,Faultless,570,570
